1=Болеслав, Суворов, м, 1, 380933538518, Life
2=Елизавета, Куликова, ж, 18, 380505954065, Vodafone
3=Клара, Кузнецова, ж, 7, 380955544161, Vodafone
4=Данияр, Прохоров, м, 22, 380669937732, Kyivstar
5=Тамерлан, Бобров, м, 23, 380956248869, Kyivstar
6=Авраам, Назаров, м, 65, 380955384308, Vodafone
7=Изабелла, Филиппова, ж, 32, 380501403275, Kyivstar
8=Инара, Осипова, ж, 62, 380955714028, Kyivstar
9=Соломон, Кудряшов, м, 6, 380939723625, Life
10=Версавия, Коновалова, ж, 25, 380502251058, Kyivstar
11=Тимофей, Егоров, м, 13, 380664335491, Vodafone
12=Венера, Лебедева, ж, 54, 380506803178, Vodafone
13=Зиновий, Агафонов, м, 50, 380934146472, Life
14=Ролан, Блохин, м, 37, 380959479820, Kyivstar
15=Лилу, Фролова, ж, 17, 380951899676, Vodafone
16=Норман, Нестеров, м, 65, 380932832729, Life
17=Джема, Иванова, ж, 26, 380954520035, Vodafone
18=Аввакум, Тихонов, м, 30, 380666779471, Vodafone
19=Валентина, Дмитриева, ж, 11, 380507507172, Kyivstar
20=Автандил, Новиков, м, 20, 380735927264, Life
21=Санда, Алексеева, ж, 9, 380509551341, Vodafone
22=Ринат, Васильев, м, 43, 380667853054, Vodafone
23=Лали, Маркова, ж, 59, 380738253104, Life
24=Алла, Фомина, ж, 11, 380503615519, Vodafone
25=Аксинья, Молчанова, ж, 22, 380934812733, Life
26=Юхим, Гуляев, м, 7, 380668275625, Vodafone
27=Ростислав, Абрамов, м, 47, 380736821940, Life
28=Арсен, Гущин, м, 60, 380934484623, Life
29=Симона, Волкова, ж, 17, 380506838385, Kyivstar
30=Сара, Никитина, ж, 66, 380509261808, Kyivstar
31=Никки, Ефимова, ж, 20, 380932252507, Life
32=Геннадий, Мамонтов, м, 70, 380503929135, Vodafone
33=Тереза, Герасимова, ж, 6, 380733066593, Life
34=Герасим, Сорокин, м, 27, 380638795718, Life
35=Булат, Силин, м, 4, 380958597583, Vodafone
36=Марина, Новикова, ж, 61, 380505592514, Kyivstar
37=Лея, Васильева, ж, 67, 380954787972, Kyivstar
38=Юрий, Казаков, м, 34, 380636845906, Life
39=Богдана, Ершова, ж, 25, 380635763256, Life
40=Милена, Фомина, ж, 27, 380502348702, Vodafone
41=Назар, Кононов, м, 23, 380959509748, Vodafone
42=Генрих, Сорокин, м, 50, 380951637977, Kyivstar
43=Равиль, Гордеев, м, 54, 380667063169, Kyivstar
44=Ильнур, Юрченко, м, 45, 380502921450, Vodafone
45=Радослава, Михайлова, ж, 25, 380934396265, Life
46=Самвел, Федоров, м, 51, 380661207551, Vodafone
47=Алиса, Голубева, ж, 7, 380637272838, Life
48=Аюна, Андреева, ж, 16, 380633489065, Life
49=Верона, Иванова, ж, 45, 380739695887, Life
50=Тихон, Григорьев, м, 43, 380504706209, Kyivstar
51=Мирра, Федотова, ж, 56, 380959219185, Kyivstar
52=Весняна, Крылова, ж, 51, 380733872228, Life
53=Спартак, Котов, м, 50, 380931314458, Life
54=Роза, Орлова, ж, 68, 380959183086, Kyivstar
55=Сергей, Савельев, м, 9, 380735190442, Life
56=Агния, Михайлова, ж, 61, 380958152525, Vodafone
57=Иосиф, Филатов, м, 11, 380953945439, Kyivstar
58=Анна, Калинина, ж, 53, 380739814770, Life
59=Лиана, Белоусова, ж, 15, 380667701585, Kyivstar
60=Харитон, Лапин, м, 47, 380665819373, Vodafone
61=Яков, Одинцов, м, 66, 380639416926, Life
62=Умар, Горбунов, м, 4, 380508806158, Vodafone
63=Илона, Полякова, ж, 46, 380661400459, Kyivstar
64=Марта, Щербакова, ж, 13, 380953792977, Kyivstar
65=Владислав, Дьячков, м, 63, 380637165672, Life
66=Биргит, Киселева, ж, 42, 380505434930, Kyivstar
67=Ерофей, Кононов, м, 47, 380955149735, Vodafone
68=Харитон, Панфилов, м, 48, 380931920978, Life
69=Павел, Титов, м, 62, 380951998277, Vodafone
70=Назарий, Ершов, м, 17, 380954962290, Vodafone
71=Ярослав, Дмитриев, м, 40, 380953569882, Kyivstar
72=Сусанна, Большакова, ж, 58, 380504796460, Kyivstar
73=Клавдия, Казакова, ж, 23, 380664549707, Vodafone
74=Айрат, Соколов, м, 30, 380955382645, Vodafone
75=Марк, Денисов, м, 15, 380954578273, Vodafone
76=Аггей, Савельев, м, 39, 380502994955, Vodafone
77=Владислава, Волкова, ж, 13, 380739099303, Life
78=Филимон, Анисимов, м, 31, 380954234857, Kyivstar
79=Сергей, Никонов, м, 66, 380634709621, Life
80=Кармелитта, Суханова, ж, 10, 380663078114, Kyivstar
81=Ричард, Самсонов, м, 34, 380952654419, Vodafone
82=Келен, Осипова, ж, 5, 380936947743, Life
83=Зоряна, Осипова, ж, 52, 380956252870, Kyivstar
84=Василиса, Егорова, ж, 41, 380937961697, Life
85=Михаил, Сергеев, м, 68, 380636461856, Life
86=Адис, Гусев, м, 41, 380502442471, Vodafone
87=Айлин, Николаева, ж, 59, 380937489715, Life
88=Рамиль, Чмерковский, м, 10, 380634495537, Life
89=Евгений, Туров, м, 31, 380669357258, Kyivstar
90=Аким, Русаков, м, 61, 380958964507, Vodafone
91=Антон, Кулаков, м, 4, 380506569901, Vodafone
92=Анэля, Анисимова, ж, 60, 380508353137, Vodafone
93=Родион, Бобылев, м, 5, 380955612607, Vodafone
94=Никки, Голубева, ж, 24, 380637367773, Life
95=Султан, Александров, м, 34, 380667808456, Kyivstar
96=Ричард, Мартынов, м, 12, 380952578554, Kyivstar
97=Индира, Путина, ж, 29, 380661191980, Vodafone
98=Данияр, Анисимов, м, 34, 380664323672, Kyivstar
99=Рая, Данилова, ж, 31, 380503440021, Kyivstar
100=Марфа, Комарова, ж, 21, 380504388223, Kyivstar
101=Ильнар, Галкин, м, 12, 380507575733, Vodafone
102=Ипполит, Ермаков, м, 70, 380952177630, Vodafone
103=Софья, Голубева, ж, 41, 380505115419, Kyivstar
104=Алан, Дементьев, м, 43, 380952075388, Vodafone
105=Алина, Коновалова, ж, 65, 380958563263, Kyivstar
106=Дорофей, Кузнецов, м, 59, 380735425821, Life
