1, Гелана, Суханова, ж, 5, 380504500673, Vodafone
2, Валерия, Миронова, ж, 63, 380508525810, Vodafone
3, Арина, Виноградова, ж, 42, 380634113756, Life
4, Корней, Горбунов, м, 16, 380733532245, Life
5, Марфа, Морозова, ж, 52, 380507178492, Vodafone
6, Асида, Антонова, ж, 11, 380664329618, Vodafone
7, Алина, Григорьева, ж, 62, 380951386310, Kyivstar
8, Влада, Молчанова, ж, 23, 380955967347, Vodafone
9, Виссарион, Лапин, м, 25, 380955044895, Kyivstar
10, Габриэлла, Антонова, ж, 36, 380668489478, Kyivstar
11, Раиса, Анисимова, ж, 41, 380952201567, Vodafone
12, Наоми, Дмитриева, ж, 10, 380501991464, Kyivstar
13, Санта, Пугачева, ж, 37, 380507594348, Vodafone
14, Эдвард, Нестеров, м, 15, 380638501745, Life
15, Гелла, Фролова, ж, 25, 380958499406, Vodafone
16, Хасан, Лаврентьев, м, 60, 380505034604, Kyivstar
17, Вячеслав, Блохин, м, 57, 380632419438, Life
18, Марк, Овчинников, м, 34, 380952802341, Kyivstar
19, Леонид, Устинов, м, 70, 380937214848, Life
20, Нева, Пугачева, ж, 64, 380959497710, Vodafone
21, Ильяс, Русаков, м, 66, 380635718055, Life
22, Амвросий, Маслов, м, 17, 380737761629, Life
23, Мелиана, Титова, ж, 57, 380503090923, Vodafone
24, Агафон, Кошелев, м, 17, 380503436524, Vodafone
25, Арина, Григорьева, ж, 38, 380952186379, Kyivstar
26, Артем, Третьяков, м, 53, 380669972308, Vodafone
27, Арнольд, Козлов, м, 27, 380958957429, Vodafone
28, Борислава, Лебедева, ж, 48, 380938399799, Life
29, Булат, Козлов, м, 55, 380955520315, Vodafone
30, Марат, Алексеев, м, 52, 380505615498, Vodafone
31, Аггей, Логинов, м, 28, 380939823231, Life
32, Патрисия, Яковалева, ж, 24, 380631332041, Life
33, Геральд, Емельянов, м, 60, 380504998061, Vodafone
34, Бронислав, Сазонов, м, 66, 380509940155, Vodafone
